id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,Losser,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
337,2013,Chennai,4/13/2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,Royal Challengers Bangalore,0,4,RA Jadeja,MA Chidambaram Stadium,Asad Rauf,AK Chaudhary,
338,2013,Kolkata,4/14/2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Sunrisers Hyderabad,48,0,G Gambhir,Eden Gardens,M Erasmus,VA Kulkarni,
339,2013,Jaipur,4/14/2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Kings XI Punjab,0,6,JP Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
340,2013,Chennai,4/15/2013,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Pune Warriors,Chennai Super Kings,24,0,SPD Smith,MA Chidambaram Stadium,Asad Rauf,AK Chaudhary,
341,2013,Chandigarh,4/16/2013,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,Kolkata Knight Riders,4,0,MS Gony,Punjab Cricket Association Stadium,CK Nandan,SJA Taufel,
342,2013,Bengaluru,4/16/2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,Delhi Daredevils,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,VA Kulkarni,
343,2013,Pune,4/17/2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,Sunrisers Hyderabad,Pune Warriors,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,
344,2013,Jaipur,4/17/2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Mumbai Indians,87,0,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
345,2013,Delhi,4/18/2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Delhi Daredevils,86,0,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni,
346,2013,Hyderabad,4/19/2013,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,0,Sunrisers Hyderabad,Kings XI Punjab,0,5,GH Vihari,Rajiv Gandhi International Stadium,HDPK Dharmasena,CK Nandan,
347,2013,Kolkata,4/20/2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,Kolkata Knight Riders,0,4,RA Jadeja,Eden Gardens,Asad Rauf,AK Chaudhary,
348,2013,Bengaluru,4/20/2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,Rajasthan Royals,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,
349,2013,Delhi,4/21/2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,Mumbai Indians,0,9,V Sehwag,Feroz Shah Kotla,HDPK Dharmasena,S Ravi,
350,2013,Chandigarh,4/21/2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Pune Warriors,0,7,DA Miller,Punjab Cricket Association Stadium,M Erasmus,K Srinath,
351,2013,Chennai,4/22/2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,Rajasthan Royals,0,5,MEK Hussey,MA Chidambaram Stadium,S Asnani,AK Chaudhary,
352,2013,Bengaluru,4/23/2013,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,Pune Warriors,130,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,
353,2013,Delhi,4/23/2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Delhi Daredevils,0,5,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath,
354,2013,Kolkata,4/24/2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,0,5,DR Smith,Eden Gardens,HDPK Dharmasena,S Ravi,
